2022-05-20 16:05:631 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 16:05:171 INFO  StartPage :30 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //a[normalize-space()='Start now']]
2022-05-20 16:05:472 INFO  SelectNationalityPage :30 - Clicking on reason for visit: Australia[[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //select[@id='response']]
2022-05-20 16:05:927 INFO  SelectNationalityPage :35 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //button[normalize-space()='Continue']]
2022-05-20 16:05:140 INFO  ReasonForTravelPage :32 - Clicking on reason for visit: Tourism or visiting family and friends[[[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //div[@class='govuk-radios']//label]]
2022-05-20 16:05:745 INFO  ReasonForTravelPage :40 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (e1d95d2b18e81cf670102a48a4c7c19c)] -> xpath: //button[text()='Continue']]
2022-05-20 16:05:907 INFO  ResultPage :36 - Clicking on reason for visit: You will not need a visa to come to the UKYou will not need a visa to come to the UK
2022-05-20 16:05:796 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 16:05:311 INFO  StartPage :30 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (70e86f718ccedb93cd30ae95e63cab87)] -> xpath: //a[normalize-space()='Start now']]
2022-05-20 16:05:439 INFO  SelectNationalityPage :30 - Clicking on reason for visit: Chile[[ChromeDriver: chrome on WINDOWS (70e86f718ccedb93cd30ae95e63cab87)] -> xpath: //select[@id='response']]
2022-05-20 16:05:12 INFO  SelectNationalityPage :35 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (70e86f718ccedb93cd30ae95e63cab87)] -> xpath: //button[normalize-space()='Continue']]
